2025-04-25 00:16:23.764 | INFO     | database.pgsql:init_db:38 - 使用register_tortoise初始化数据库连接...
2025-04-25 00:16:23.765 | INFO     | database.pgsql:init_db:46 - 数据库初始化成功
2025-04-25 00:16:23.765 | INFO     | core.lifespan:lifespan:118 - 数据库连接初始化成功
2025-04-25 00:16:23.765 | INFO     | core.lifespan:lifespan:126 - 所有资源初始化完成
2025-04-25 00:16:23.766 | INFO     | core.lifespan:lifespan:127 - === 应用启动完成 ===
2025-04-25 00:17:52.717 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_info/2
2025-04-25 00:17:52.723 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_info/2
2025-04-25 00:17:52.724 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_list
2025-04-25 00:17:52.725 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_info/2
2025-04-25 00:17:52.727 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_info/2
2025-04-25 00:17:52.728 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_info/2
2025-04-25 00:17:52.729 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 12.06ms
2025-04-25 00:17:52.734 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 10.47ms
2025-04-25 00:17:52.736 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_list - 状态码: 200 - 处理时间: 11.66ms
2025-04-25 00:17:52.738 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 12.56ms
2025-04-25 00:17:52.740 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 13.55ms
2025-04-25 00:17:52.742 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 13.96ms
2025-04-25 00:17:52.755 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_list
2025-04-25 00:17:52.759 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_list - 状态码: 200 - 处理时间: 5.00ms
2025-04-25 00:17:52.768 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_list
2025-04-25 00:17:52.769 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_list - 状态码: 200 - 处理时间: 1.99ms
2025-04-25 00:17:52.774 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_list
2025-04-25 00:17:52.776 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_list - 状态码: 200 - 处理时间: 2.03ms
2025-04-25 00:17:52.780 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_list
2025-04-25 00:17:52.783 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_list - 状态码: 200 - 处理时间: 2.44ms
2025-04-25 00:17:52.788 | INFO     | main:log_requests:49 - 开始请求: OPTIONS /api/internal/users/get_user_list
